name,cid
"1,3-Dichloropropene",24883
Diepoxybutane,11254
Diesel Exhaust Particulates,
Di(2-ethylhexyl) Phthalate,8343
Diethyl Sulfate,6163
Diglycidyl Resorcinol Ether,7586
"3,3'-Dimethoxybenzidine",8411
4-Dimethylaminoazobenzene,6053
"3,3'-Dimethylbenzidine",8413
Dimethylcarbamoyl Chloride,6598
"1,1-Dimethylhydrazine",5976
Dimethyl Sulfate,6497
Dimethylvinyl Chloride,10555
"1,6-Dinitropyrene",39184
"1,8-Dinitropyrene",39185
"1,4-Dioxane",31275
Disperse Blue 1,17190
"3,3'-Dimethylbenzidine",8413
Epichlorohydrin,7835
Ethylene Thiourea,2723650
Ethyl Methanesulfonate,6113
Furan,8029
Glycidol,11164
Hexachlorobenzene,8370
Hexachloroethane,6214
Hexamethylphosphoramide,12679
Hydrazine and Hydrazine Sulfate,
Hydrazobenzene,31222
"Indeno[1,2,3-cd]pyrene",9131
Iron Dextran Complex,
Isoprene,6557
Kepone,299
Lead and Lead Compounds,
Lindane,727
2-Methylaziridine,6377
5-Methylchrysene ,19427
"4,4'-Methylenebis(2-chloroaniline)",7543
"4,4'-Methylenebis(N,N-dimethyl)benzenamine",7567
"4,4'-Methylenedianiline",7577
Methyleugenol,7127
Methyl Methanesulfonate,4156
N-Methyl-N'-Nitro-N-Nitrosoguanidine,135436526
Metronidazole,4173
Michler’s Ketone,
Mirex,16945
Naphthalene,931
"Nickel, Metallic",
Nitrilotriacetic Acid,8758
o-Nitroanisole,7048
Nitrobenzene,7416
6-Nitrochrysene,24121
Nitrofen,15787
Nitrogen Mustard Hydrochloride,5935
Nitromethane,6375
2-Nitropropane,398
1-Nitropyrene,21694
4-Nitropyrene,62134
N-Nitrosodi-n-butylamine,13542
N-Nitrosodiethanolamine,14223
N-Nitrosodiethylamine,5921
N-Nitrosodimethylamine,6124
N-Nitrosodi-n-propylamine,12130
N-Nitroso-N-ethylurea,12967
4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone,47289
N-Nitroso-N-methylurea,12699
N-Nitrosomethylvinylamine,20678
N-Nitrosomorpholine,6046
N-Nitrosonornicotine,12613538
N-Nitrosopiperidine,7526
N-Nitrosopyrrolidine,13591
N-Nitrososarcosine,25811
o-Nitrotoluene,6944
Norethisterone,6230
Ochratoxin A,442530
"4,4'-Oxydianiline",7579
Oxymetholone,5281034
Pentachlorophenol,992
Phenacetin,4754
Phenazopyridine Hydrochloride,8691
Phenolphthalein,4764
Phenoxybenzamine Hydrochloride,5284441
Phenytoin,1775
Phenytoin Sodium,657302
Polybrominated Biphenyls,
Polychlorinated Biphenyls,
Procarbazine,4915
Progesterone,5994
"1,3-Propane Sultone",14264
β-Propiolactone,
Propylene Oxide,6378
Propylthiouracil,657298
Reserpine,5770
Riddelliine,5281744
Safrole,5144
Selenium Sulfide,24011
Streptozotocin,29327
Styrene,7501
"Styrene-7,8-oxide",7276
Sulfallate,7216
Tetrachloroethylene,31373
Tetrafluoroethylene,8301
Tetranitromethane,10509
Thioacetamide,2723949
"4,4'-Thiodianiline",8765
Thiourea,2723790
Toluene Diisocyanates,
Toxaphene,
Tribromoacetic Acid,6415
"2,4,6-Trichlorophenol",6914
"1,2,3-Trichloropropane",7285
"Tris(2,3-dibromopropyl) Phosphate",31356
Urethane,5641
Vinyl Bromide,11641
4-Vinyl-1-cyclohexene Diepoxide,7833
Vinyl Fluoride,6339
