# sample: Lys-12Iq-log251
# data
# X2_Lys-1p0-Gt.dat
# X2_Lys-2p5-Gt.dat
# X2_Lys-5p0-Gt.dat
# X4_Lys_3p0-Gt.dat
# X4_Lys-0p75-Gt.dat
# X4_Lys-1p5p0-Gt.dat
# X5_Lys-Gt.dat
# X7_Lys-2p0-Gt.dat
# X7_Lys-5p0-Gt.dat
# X12_Lys-1B-Gt.dat
# X12_Lys-1C-Gt.dat
# X12_Lys-1D-Gt.dat
# q  I  sigma
4.447617e-02 8.724198e-01 1.761933e-03
4.566973e-02 8.691280e-01 1.489368e-03
4.661758e-02 8.672140e-01 2.383269e-03
4.743628e-02 8.602662e-01 1.514049e-03
4.838733e-02 8.583822e-01 2.255961e-03
4.926384e-02 8.496138e-01 1.354942e-03
5.064511e-02 8.384355e-01 1.584258e-03
5.136303e-02 8.365151e-01 1.620076e-03
5.252301e-02 8.295943e-01 1.532826e-03
5.344654e-02 8.249152e-01 1.644291e-03
5.465691e-02 8.153744e-01 1.377208e-03
5.603577e-02 8.087168e-01 1.353338e-03
5.717753e-02 8.003595e-01 1.550524e-03
5.826293e-02 7.935134e-01 1.389847e-03
5.931084e-02 7.858692e-01 1.566737e-03
6.054715e-02 7.779472e-01 1.140489e-03
6.209706e-02 7.679059e-01 1.313981e-03
6.310024e-02 7.618404e-01 1.430462e-03
6.451343e-02 7.508861e-01 9.885890e-04
6.592618e-02 7.457811e-01 1.684705e-03
6.696424e-02 7.346980e-01 1.053489e-03
6.880359e-02 7.225557e-01 1.030945e-03
7.006110e-02 7.194098e-01 1.605328e-03
7.127256e-02 7.045163e-01 1.028944e-03
7.297829e-02 6.927003e-01 1.130914e-03
7.429715e-02 6.833930e-01 1.001501e-03
7.619329e-02 6.683234e-01 9.239165e-04
7.746467e-02 6.627370e-01 1.225115e-03
7.906232e-02 6.491599e-01 9.101346e-04
8.126221e-02 6.315363e-01 7.823921e-04
8.249249e-02 6.250256e-01 1.097020e-03
8.432806e-02 6.096826e-01 8.275135e-04
8.613629e-02 5.957058e-01 9.810359e-04
8.755973e-02 5.842220e-01 9.488918e-04
8.966672e-02 5.703097e-01 7.675568e-04
9.118794e-02 5.612104e-01 1.032995e-03
9.326836e-02 5.449122e-01 6.598752e-04
9.504796e-02 5.309997e-01 9.867202e-04
9.682645e-02 5.176259e-01 6.534681e-04
9.931498e-02 5.013847e-01 7.123551e-04
1.013749e-01 4.860306e-01 7.216615e-04
1.034052e-01 4.711587e-01 7.223459e-04
1.054794e-01 4.553655e-01 6.496084e-04
1.077923e-01 4.389775e-01 7.028835e-04
1.099046e-01 4.249646e-01 6.724119e-04
1.121510e-01 4.115256e-01 6.954866e-04
1.142838e-01 3.961396e-01 6.943520e-04
1.165388e-01 3.820277e-01 6.333218e-04
1.192606e-01 3.636048e-01 5.623103e-04
1.218215e-01 3.471155e-01 6.346025e-04
1.241781e-01 3.328137e-01 6.140817e-04
1.268881e-01 3.160896e-01 5.184578e-04
1.294026e-01 3.015889e-01 5.710153e-04
1.320630e-01 2.867637e-01 5.706044e-04
1.350131e-01 2.700050e-01 4.703221e-04
1.377554e-01 2.546142e-01 5.583912e-04
1.402748e-01 2.419057e-01 4.947537e-04
1.430630e-01 2.288894e-01 4.723026e-04
1.463286e-01 2.126309e-01 4.767143e-04
1.491792e-01 2.002543e-01 4.953945e-04
1.523300e-01 1.862910e-01 4.307287e-04
1.552934e-01 1.735396e-01 4.630057e-04
1.586648e-01 1.599986e-01 4.028685e-04
1.621646e-01 1.468067e-01 4.047915e-04
1.652006e-01 1.366042e-01 4.081671e-04
1.686857e-01 1.236967e-01 3.724643e-04
1.726083e-01 1.116111e-01 3.587219e-04
1.760002e-01 1.022006e-01 3.997620e-04
1.795749e-01 9.344053e-02 3.400926e-04
1.830976e-01 8.423458e-02 3.703871e-04
1.866900e-01 7.580453e-02 3.518707e-04
1.906139e-01 6.784001e-02 3.312110e-04
1.945168e-01 5.991638e-02 3.378399e-04
1.985198e-01 5.361117e-02 3.056500e-04
2.029494e-01 4.721523e-02 2.885410e-04
2.074424e-01 4.040357e-02 3.058701e-04
2.114126e-01 3.607971e-02 3.156473e-04
2.155589e-01 3.186252e-02 3.025821e-04
2.199857e-01 2.842435e-02 2.765763e-04
2.247669e-01 2.460721e-02 2.806128e-04
2.292952e-01 2.169828e-02 2.787819e-04
2.341505e-01 1.908421e-02 2.453927e-04
2.390267e-01 1.703863e-02 2.960929e-04
2.440127e-01 1.491841e-02 2.399378e-04
2.489596e-01 1.340424e-02 2.738712e-04
2.540471e-01 1.328603e-02 2.453840e-04
2.595441e-01 1.206931e-02 2.386066e-04
2.644610e-01 1.227653e-02 2.554954e-04
2.699463e-01 1.194913e-02 2.266503e-04
2.757035e-01 1.163538e-02 2.273483e-04
2.813449e-01 1.221307e-02 2.376422e-04
2.874423e-01 1.263545e-02 2.294511e-04
2.933967e-01 1.206856e-02 2.221028e-04
2.993520e-01 1.294218e-02 2.237658e-04
3.054002e-01 1.278531e-02 2.334210e-04
3.118020e-01 1.387733e-02 2.113357e-04
3.183714e-01 1.360635e-02 2.255738e-04
3.247692e-01 1.372226e-02 2.141033e-04
3.314641e-01 1.380268e-02 2.161503e-04
3.382641e-01 1.480754e-02 2.199271e-04
3.450089e-01 1.401424e-02 1.967809e-04
3.528207e-01 1.392178e-02 1.957157e-04
3.596452e-01 1.371907e-02 2.264852e-04
3.669225e-01 1.329077e-02 2.010474e-04
3.744806e-01 1.283370e-02 1.956858e-04
3.823767e-01 1.248818e-02 1.862957e-04
3.902547e-01 1.220466e-02 1.897349e-04
3.982142e-01 1.128043e-02 1.933164e-04
4.067039e-01 1.054443e-02 1.714944e-04
4.151271e-01 9.929277e-03 1.843394e-04
4.237114e-01 9.072439e-03 1.748235e-04
4.324245e-01 8.476214e-03 1.729425e-04
4.410930e-01 8.132792e-03 1.769525e-04
4.503158e-01 7.498816e-03 1.811960e-04
4.592953e-01 7.108545e-03 1.742447e-04
4.693110e-01 6.832807e-03 1.766489e-04
4.786539e-01 6.315824e-03 1.879928e-04
4.880441e-01 6.435846e-03 1.943439e-04
5.003299e-01 5.935697e-03 1.385779e-04
5.095702e-01 5.637233e-03 1.355785e-04
5.200150e-01 5.974751e-03 1.212769e-04
5.302517e-01 5.966675e-03 1.437738e-04
5.406166e-01 6.050529e-03 1.266043e-04
5.521583e-01 6.521442e-03 1.264589e-04
5.641072e-01 6.818714e-03 1.267521e-04
5.760618e-01 6.765654e-03 1.280190e-04
5.880138e-01 7.215328e-03 1.228868e-04
5.996648e-01 7.503698e-03 1.351429e-04
6.123833e-01 7.610476e-03 1.349477e-04
6.244719e-01 7.390789e-03 1.320745e-04
6.383706e-01 7.480895e-03 1.211450e-04
6.514629e-01 6.870011e-03 1.351845e-04
6.637128e-01 6.638344e-03 1.303763e-04
6.778587e-01 6.127865e-03 1.223542e-04
6.920149e-01 5.559311e-03 1.294893e-04
7.058968e-01 4.810408e-03 1.167570e-04
7.217360e-01 4.240607e-03 1.348039e-04
7.364332e-01 3.665461e-03 1.399674e-04
7.503086e-01 3.310192e-03 1.259997e-04
7.667840e-01 2.555586e-03 1.229883e-04
7.818628e-01 2.197250e-03 1.274500e-04
7.977709e-01 1.825824e-03 1.318696e-04
8.136638e-01 1.984317e-03 1.273702e-04
8.314403e-01 1.829322e-03 1.156627e-04
8.496137e-01 1.563652e-03 1.445718e-04
8.677231e-01 1.263723e-03 1.593358e-04
8.854520e-01 9.999407e-04 2.277015e-04
9.024437e-01 1.327992e-03 1.706175e-04
9.225750e-01 1.042123e-03 1.502752e-04
9.427801e-01 1.248549e-03 1.519651e-04
9.606004e-01 1.192117e-03 1.682270e-04
9.778492e-01 1.449484e-03 1.503301e-04
9.948663e-01 1.607261e-03 1.704682e-04
